filename	blog	year	country	no_of_token	no_of_sentences	median_sentence_length	n_ratio	v_ratio	unknown_ratio
cathaskueche_02.txt	cathaskueche	2016	Österreich	606	28	19.0	0.23597359735973597	0.12046204620462046	0.08085808580858085
cathaskueche_03.txt	cathaskueche	2016	Österreich	489	26	14.5	0.2484472049689441	0.14078674948240166	0.08074534161490683
cathaskueche_04.txt	cathaskueche	2013	Österreich	341	17	14.0	0.2656716417910448	0.1253731343283582	0.10149253731343283
cathaskueche_05.txt	cathaskueche	2018	Österreich	559	26	19.5	0.27124773960216997	0.11573236889692586	0.16455696202531644
cathaskueche_06.txt	cathaskueche	2018	Österreich	400	15	23.0	0.30673316708229426	0.10473815461346633	0.11970074812967581
cathaskueche_07.txt	cathaskueche	2018	Österreich	568	22	23.5	0.2429078014184397	0.11347517730496454	0.1099290780141844
cathaskueche_08.txt	cathaskueche	2017	Österreich	816	48	16.0	0.2340686274509804	0.12745098039215685	0.11397058823529412
cathaskueche_09.txt	cathaskueche	2017	Österreich	638	25	18.0	0.26604068857589985	0.12519561815336464	0.12832550860719874
cathaskueche_10.txt	cathaskueche	2017	Österreich	620	33	14.0	0.2702265372168285	0.12944983818770225	0.13592233009708737
gluten-frei_01.txt	gluten-frei	2013	Deutschland	290	15	16.0	0.2768166089965398	0.1314878892733564	0.0726643598615917
gluten-frei_02.txt	gluten-frei	2012	Deutschland	208	13	15.0	0.26570048309178745	0.1497584541062802	0.03864734299516908
gluten-frei_03.txt	gluten-frei	2010	Deutschland	146	12	11.0	0.30985915492957744	0.1267605633802817	0.09859154929577464
gluten-frei_04.txt	gluten-frei	2010	Deutschland	217	11	13.0	0.2744186046511628	0.11627906976744186	0.08372093023255814
gluten-frei_05.txt	gluten-frei	2013	Deutschland	435	23	19.0	0.23776223776223776	0.14219114219114218	0.055944055944055944
gluten-frei_06.txt	gluten-frei	2016	Deutschland	396	23	15.0	0.28426395939086296	0.10913705583756345	0.10406091370558376
gluten-frei_07.txt	gluten-frei	2016	Deutschland	229	12	15.0	0.2894736842105263	0.11403508771929824	0.08333333333333333
gluten-frei_08.txt	gluten-frei	2018	Deutschland	365	21	18.0	0.27146814404432135	0.13019390581717452	0.07756232686980609
gluten-frei_09.txt	gluten-frei	2018	Deutschland	214	12	16.0	0.2676056338028169	0.15023474178403756	0.13615023474178403
gluten-frei_10.txt	gluten-frei	2018	Deutschland	235	13	19.0	0.24892703862660945	0.12446351931330472	0.055793991416309016
klockerei_01.txt	klockerei	2017	Österreich	157	5	11.0	0.3076923076923077	0.11538461538461539	0.0641025641025641
klockerei_02.txt	klockerei	2017	Österreich	388	16	23.5	0.2236842105263158	0.11842105263157894	0.0868421052631579
klockerei_03.txt	klockerei	2017	Österreich	226	9	16.0	0.14414414414414414	0.17117117117117117	0.04504504504504504
klockerei_04.txt	klockerei	2017	Österreich	392	13	20.0	0.1953727506426735	0.11568123393316196	0.06940874035989718
klockerei_05.txt	klockerei	2018	Österreich	154	12	12.5	0.20915032679738563	0.1830065359477124	0.0392156862745098
klockerei_06.txt	klockerei	2018	Österreich	121	8	11.5	0.23529411764705882	0.10084033613445378	0.04201680672268908
klockerei_07.txt	klockerei	2018	Österreich	227	13	14.0	0.25675675675675674	0.13513513513513514	0.05855855855855856
